Date,Adj Close
03.01.2000,29.43
04.01.2000,28.82
05.01.2000,29.29
06.01.2000,28.87
07.01.2000,29.62
10.01.2000,29.75
11.01.2000,30.45
12.01.2000,31.75
13.01.2000,31.42
14.01.2000,31.64
18.01.2000,30.82
19.01.2000,31.47
20.01.2000,31.61
21.01.2000,30.49
24.01.2000,29.33
25.01.2000,29.56
26.01.2000,26.55
27.01.2000,27.94
28.01.2000,27.29
31.01.2000,27.76
01.02.2000,27.2
02.02.2000,26.36
03.02.2000,25.99
04.02.2000,26.09
07.02.2000,25.95
08.02.2000,26.96
09.02.2000,26.65
10.02.2000,26.36
11.02.2000,25.95
14.02.2000,25.16
15.02.2000,25.06
16.02.2000,24.79
17.02.2000,25.06
18.02.2000,24.14
22.02.2000,23.99
23.02.2000,24.23
24.02.2000,23.3
25.02.2000,23.02
28.02.2000,23.11
29.02.2000,23.58
01.03.2000,23.21
02.03.2000,22.92
03.03.2000,23.99
06.03.2000,23.44
07.03.2000,22.18
08.03.2000,22.84
09.03.2000,23.76
10.03.2000,23.58
13.03.2000,24.09
14.03.2000,22.65
15.03.2000,24.14
16.03.2000,25.29
17.03.2000,25.11
20.03.2000,25.67
21.03.2000,26.18
22.03.2000,26.18
23.03.2000,26.13
24.03.2000,25.85
27.03.2000,25.81
28.03.2000,26.09
29.03.2000,27.34
30.03.2000,27.94
31.03.2000,27.76
03.04.2000,28.59
04.04.2000,28.61
05.04.2000,28.64
06.04.2000,27.48
07.04.2000,27.48
10.04.2000,27.02
11.04.2000,27.99
12.04.2000,26.96
13.04.2000,25.35
14.04.2000,24.92
17.04.2000,25.02
18.04.2000,24.14
19.04.2000,24.55
20.04.2000,26.59
24.04.2000,28.96
25.04.2000,28.78
26.04.2000,28.87
27.04.2000,28.82
28.04.2000,28.26
01.05.2000,28.87
02.05.2000,29.1
03.05.2000,27.71
04.05.2000,26.55
05.05.2000,26.5
08.05.2000,26.59
09.05.2000,27.48
10.05.2000,28.69
11.05.2000,28.36
12.05.2000,27.89
15.05.2000,28.36
16.05.2000,29.1
17.05.2000,29.01
18.05.2000,28.69
19.05.2000,28.08
22.05.2000,28.87
23.05.2000,29.06
24.05.2000,28.78
25.05.2000,27.71
26.05.2000,28.03
30.05.2000,27.15
31.05.2000,26.59
01.06.2000,26.46
02.06.2000,26.83
05.06.2000,26.36
06.06.2000,26.09
07.06.2000,25.9
08.06.2000,26.32
09.06.2000,25.16
12.06.2000,24.23
13.06.2000,24.05
14.06.2000,23.58
15.06.2000,23.86
16.06.2000,23.25
19.06.2000,23.39
20.06.2000,23.39
21.06.2000,23.25
22.06.2000,23.35
23.06.2000,24.23
26.06.2000,24.83
27.06.2000,24.28
28.06.2000,23.93
29.06.2000,23.21
30.06.2000,24.46
03.07.2000,24.14
05.07.2000,23.62
06.07.2000,23.91
07.07.2000,24.14
10.07.2000,23.95
11.07.2000,24.18
12.07.2000,23.76
13.07.2000,23.39
14.07.2000,23.3
17.07.2000,23.25
18.07.2000,23.25
19.07.2000,23.3
20.07.2000,23.53
21.07.2000,22.92
24.07.2000,22.46
25.07.2000,23.25
26.07.2000,23.53
27.07.2000,23.91
28.07.2000,23.76
31.07.2000,23.53
01.08.2000,24.23
02.08.2000,24.83
03.08.2000,24.69
04.08.2000,24.79
07.08.2000,25.02
08.08.2000,24.88
09.08.2000,24.28
10.08.2000,24.37
11.08.2000,24.83
14.08.2000,24.74
15.08.2000,24.09
16.08.2000,24.05
17.08.2000,23.21
18.08.2000,23.44
21.08.2000,23.44
22.08.2000,23.25
23.08.2000,23.16
24.08.2000,22.55
25.08.2000,22.55
28.08.2000,22.55
29.08.2000,22.61
30.08.2000,22.55
31.08.2000,22.2
01.09.2000,21.95
05.09.2000,22.05
06.09.2000,22.37
07.09.2000,21.91
08.09.2000,21.35
11.09.2000,21.07
12.09.2000,21.54
13.09.2000,20.19
14.09.2000,20.24
15.09.2000,20.79
18.09.2000,21.16
19.09.2000,20.7
20.09.2000,20.56
21.09.2000,20.05
22.09.2000,21.31
25.09.2000,21.86
26.09.2000,22.18
27.09.2000,22.18
28.09.2000,22.18
29.09.2000,22.42
02.10.2000,22.32
03.10.2000,22.46
04.10.2000,22.28
05.10.2000,22.37
06.10.2000,22.18
09.10.2000,22.32
10.10.2000,22.23
11.10.2000,22.28
12.10.2000,21.07
13.10.2000,21.44
16.10.2000,21.54
17.10.2000,20.79
18.10.2000,20.84
19.10.2000,20.7
20.10.2000,20.98
23.10.2000,21.63
24.10.2000,21.63
25.10.2000,21.54
26.10.2000,21.49
27.10.2000,22.09
30.10.2000,23.16
31.10.2000,23.02
01.11.2000,23.48
02.11.2000,23.72
03.11.2000,24.05
06.11.2000,23.76
07.11.2000,23.58
08.11.2000,23.48
09.11.2000,23.58
10.11.2000,24.55
13.11.2000,24.71
14.11.2000,25
15.11.2000,24.9
16.11.2000,24.44
17.11.2000,25
20.11.2000,25.04
21.11.2000,25.37
22.11.2000,25.6
24.11.2000,25.18
27.11.2000,23.87
28.11.2000,23.36
29.11.2000,24.29
30.11.2000,23.82
01.12.2000,23.13
04.12.2000,23.5
05.12.2000,22.8
06.12.2000,22.14
07.12.2000,22.61
08.12.2000,22.05
11.12.2000,22.38
12.12.2000,23.07
13.12.2000,23.26
14.12.2000,23.59
15.12.2000,23.55
18.12.2000,24.15
19.12.2000,24.58
20.12.2000,23.45
21.12.2000,24.44
22.12.2000,24.44
26.12.2000,24.29
27.12.2000,24.76
28.12.2000,25.32
29.12.2000,25.41
02.01.2001,25.04
03.01.2001,25.18
04.01.2001,24.67
05.01.2001,24.62
08.01.2001,24.67
09.01.2001,24.71
10.01.2001,24.81
11.01.2001,24.44
12.01.2001,25.14
16.01.2001,25.51
17.01.2001,25.93
18.01.2001,25.14
19.01.2001,24.52
22.01.2001,25.04
23.01.2001,24.58
24.01.2001,23.03
25.01.2001,22.1
26.01.2001,21.68
29.01.2001,22.07
30.01.2001,22.01
31.01.2001,21.94
01.02.2001,21.7
02.02.2001,22
05.02.2001,21.95
06.02.2001,22.45
07.02.2001,21.88
08.02.2001,21.93
09.02.2001,22.25
12.02.2001,22.3
13.02.2001,22.42
14.02.2001,21.86
15.02.2001,22.48
16.02.2001,22.59
20.02.2001,22.75
21.02.2001,22.19
22.02.2001,22.47
23.02.2001,22.51
26.02.2001,22.33
27.02.2001,22.46
28.02.2001,21.98
01.03.2001,21.83
02.03.2001,21.56
05.03.2001,21.35
06.03.2001,21.56
07.03.2001,21.23
08.03.2001,21.9
09.03.2001,21.64
12.03.2001,20.97
13.03.2001,20.78
14.03.2001,20.59
15.03.2001,20.36
16.03.2001,19.81
19.03.2001,19.72
20.03.2001,19.26
21.03.2001,19.17
22.03.2001,18.77
23.03.2001,18.69
26.03.2001,18.91
27.03.2001,18.93
28.03.2001,18.9
29.03.2001,19.8
30.03.2001,19.85
02.04.2001,19.91
03.04.2001,19.28
04.04.2001,19.5
05.04.2001,19.43
06.04.2001,19.62
09.04.2001,19.95
10.04.2001,20.18
11.04.2001,19.98
12.04.2001,20.1
16.04.2001,20.35
17.04.2001,20.31
18.04.2001,20.55
19.04.2001,20.53
20.04.2001,20.25
23.04.2001,20.15
24.04.2001,20.06
25.04.2001,20.18
26.04.2001,20.2
27.04.2001,20.26
30.04.2001,20.56
01.05.2001,20.77
02.05.2001,20.59
03.05.2001,20.11
04.05.2001,20.05
07.05.2001,20.01
08.05.2001,19.85
09.05.2001,20.33
10.05.2001,20.11
11.05.2001,20.74
14.05.2001,20.74
15.05.2001,20.56
16.05.2001,20.71
17.05.2001,21.3
18.05.2001,22.28
21.05.2001,22.32
22.05.2001,22.8
23.05.2001,22.6
24.05.2001,22.99
25.05.2001,22.81
29.05.2001,22.99
30.05.2001,22.94
31.05.2001,22.63
01.06.2001,22.21
04.06.2001,21.85
05.06.2001,21.98
06.06.2001,22.2
07.06.2001,22.34
08.06.2001,22.01
