Date,Adj Close
03.01.2000,43.84
04.01.2000,42.36
05.01.2000,42.81
06.01.2000,41.38
07.01.2000,41.92
10.01.2000,42.22
11.01.2000,41.14
12.01.2000,39.8
13.01.2000,40.55
14.01.2000,42.22
18.01.2000,43.37
19.01.2000,40.25
20.01.2000,39.87
21.01.2000,39.03
24.01.2000,38.09
25.01.2000,38.67
26.01.2000,37.38
27.01.2000,37.14
28.01.2000,36.96
31.01.2000,36.81
01.02.2000,38.72
02.02.2000,37.92
03.02.2000,38.98
04.02.2000,40.08
07.02.2000,40.11
08.02.2000,41.35
09.02.2000,39.12
10.02.2000,39.87
11.02.2000,37.59
14.02.2000,37.47
15.02.2000,37.07
16.02.2000,36.72
17.02.2000,37.47
18.02.2000,35.76
22.02.2000,35.29
23.02.2000,35.45
24.02.2000,35.64
25.02.2000,34.35
28.02.2000,34.44
29.02.2000,33.62
01.03.2000,34.16
02.03.2000,35.12
03.03.2000,36.16
06.03.2000,34.09
07.03.2000,34.93
08.03.2000,35.94
09.03.2000,37.61
10.03.2000,37.99
13.03.2000,36.86
14.03.2000,35.78
15.03.2000,35.87
16.03.2000,35.87
17.03.2000,37.38
20.03.2000,36.63
21.03.2000,38.65
22.03.2000,38.84
23.03.2000,42.08
24.03.2000,42.01
27.03.2000,39.14
28.03.2000,39.24
29.03.2000,40.32
30.03.2000,38.88
31.03.2000,39.97
03.04.2000,34.18
04.04.2000,33.31
05.04.2000,32.49
06.04.2000,32.35
07.04.2000,33.5
10.04.2000,32.37
11.04.2000,31.55
12.04.2000,29.85
13.04.2000,29.81
14.04.2000,27.88
17.04.2000,28.54
18.04.2000,30.3
19.04.2000,29.6
20.04.2000,29.69
24.04.2000,25.06
25.04.2000,26.09
26.04.2000,25.58
27.04.2000,26.26
28.04.2000,26.24
01.05.2000,27.62
02.05.2000,26.28
03.05.2000,26.54
04.05.2000,26.5
05.05.2000,26.75
08.05.2000,26.26
09.05.2000,25.51
10.05.2000,24.9
11.05.2000,25.53
12.05.2000,25.88
15.05.2000,26.09
16.05.2000,26.14
17.05.2000,25.46
18.05.2000,24.9
19.05.2000,24.47
22.05.2000,24.15
23.05.2000,23.77
24.05.2000,24.66
25.05.2000,23.13
26.05.2000,23.11
30.05.2000,23.84
31.05.2000,23.53
01.06.2000,24.28
02.06.2000,24.94
05.06.2000,25.15
06.06.2000,26.19
07.06.2000,26.52
08.06.2000,25.88
09.06.2000,25.88
12.06.2000,25.15
13.06.2000,25.53
14.06.2000,26.52
15.06.2000,27.22
16.06.2000,27.29
19.06.2000,27.72
20.06.2000,28.19
21.06.2000,30.35
22.06.2000,30.04
23.06.2000,29.22
26.06.2000,29.9
27.06.2000,29.64
28.06.2000,29.69
29.06.2000,29.03
30.06.2000,30.09
03.07.2000,30.09
05.07.2000,29.53
06.07.2000,30.45
07.07.2000,30.84
10.07.2000,29.88
11.07.2000,29.76
12.07.2000,30.21
13.07.2000,30.07
14.07.2000,29.69
17.07.2000,29.41
18.07.2000,29.53
19.07.2000,27.5
20.07.2000,28.14
21.07.2000,27.2
24.07.2000,26.54
25.07.2000,25.95
26.07.2000,25.51
27.07.2000,26.09
28.07.2000,26.21
31.07.2000,26.26
01.08.2000,25.84
02.08.2000,26.09
03.08.2000,26.42
04.08.2000,26
07.08.2000,26.33
08.08.2000,27.88
09.08.2000,27.93
10.08.2000,27.32
11.08.2000,27.25
14.08.2000,27.15
15.08.2000,26.94
16.08.2000,26.71
17.08.2000,26.92
18.08.2000,26.71
21.08.2000,26.56
22.08.2000,26.8
23.08.2000,26.61
24.08.2000,26.75
25.08.2000,26.56
28.08.2000,26.82
29.08.2000,26.68
30.08.2000,26.33
31.08.2000,26.26
01.09.2000,26.4
05.09.2000,26.38
06.09.2000,26.12
07.09.2000,26.35
08.09.2000,26.07
11.09.2000,25.88
12.09.2000,25.62
13.09.2000,25.67
14.09.2000,24.75
15.09.2000,24.15
18.09.2000,23.7
19.09.2000,24.45
20.09.2000,24.17
21.09.2000,24.15
22.09.2000,23.79
25.09.2000,23.04
26.09.2000,23.58
27.09.2000,22.81
28.09.2000,23.06
29.09.2000,22.69
02.10.2000,22.24
03.10.2000,21.28
04.10.2000,20.85
05.10.2000,20.83
06.10.2000,20.9
09.10.2000,20.38
10.10.2000,20.52
11.10.2000,20.97
12.10.2000,20.46
13.10.2000,20.22
16.10.2000,18.95
17.10.2000,18.97
18.10.2000,19.47
19.10.2000,23.28
20.10.2000,24.52
23.10.2000,23.37
24.10.2000,23.13
25.10.2000,23.04
26.10.2000,24.24
27.10.2000,25.46
30.10.2000,25.98
31.10.2000,25.91
01.11.2000,26.19
02.11.2000,26.45
03.11.2000,25.67
06.11.2000,26.14
07.11.2000,26.52
08.11.2000,26.12
09.11.2000,26.66
10.11.2000,25.34
13.11.2000,24.99
14.11.2000,25.88
15.11.2000,26.35
16.11.2000,25.93
17.11.2000,25.98
20.11.2000,25.27
21.11.2000,25.48
22.11.2000,25.67
24.11.2000,26.31
27.11.2000,26.59
28.11.2000,25.2
29.11.2000,24.47
30.11.2000,21.58
01.12.2000,21.3
04.12.2000,21.23
05.12.2000,22.52
06.12.2000,21.32
07.12.2000,19.98
08.12.2000,20.48
11.12.2000,21.84
12.12.2000,21.96
13.12.2000,21.53
14.12.2000,20.88
15.12.2000,18.5
18.12.2000,17.98
19.12.2000,16.86
20.12.2000,15.61
21.12.2000,16.34
22.12.2000,17.47
26.12.2000,17.63
27.12.2000,17.47
28.12.2000,16.76
29.12.2000,16.32
02.01.2001,16.32
03.01.2001,18.03
04.01.2001,18.22
05.01.2001,18.48
08.01.2001,18.41
09.01.2001,19.49
10.01.2001,19.89
11.01.2001,20.69
12.01.2001,20.12
16.01.2001,19.77
17.01.2001,19.91
18.01.2001,20.88
19.01.2001,22.95
22.01.2001,22.62
23.01.2001,22.78
24.01.2001,23.67
25.01.2001,23.25
26.01.2001,24.07
29.01.2001,24.26
